Name,Smin,Smax,Smed,SSD,Nobs,B-V,logRhk,Age,I10,C,SimbadName,_RA,_DE
"HD 111631",1.415,1.895,1.685,0.08735,41,1.397,-4.699,1.88,1,0,"HD 111631 ",192.68153,-0.76813
"HD 107148",0.1525,0.1665,0.1562,0.00311,98,0.67,-5.027,6.15,1,1,"HD 107148 ",184.80621,-3.31979
"HD 111515",0.1679,0.1712,0.1695,8.4E-4,21,0.626,-4.931,4.35,1,0,"HD 111515 ",192.43679,1.18804
"HD 111484A",0.2158,0.2294,0.2281,0.00555,8,0.52,-4.641,1.54,1,0,"HD 111484A",192.39509,3.81821
"HD 111484B",0.1872,0.2103,0.1916,0.00664,9,0.529,-4.783,2.52,1,0,"HD 111484B",192.39583,3.8206
"HD 116443",0.1644,0.1922,0.1731,0.00546,107,0.787,-4.975,5.1,1,1,"HD 116443 ",200.92019,2.72527
"HD 116442",0.1597,0.1744,0.1638,0.00281,66,0.73,-5.0,5.59,1,1,"HD 116442 ",200.91314,2.72333
"HD 117936",0.4851,0.6203,0.5466,0.03672,23,0.987,-4.548,1.09,1,0,"HD 117936 ",203.385,8.58676
"HD 120066",0.1587,0.1646,0.1625,0.0012,65,0.617,-4.969,5.0,1,0,"HD 120066 ",206.73801,6.35037
"HD 114174",0.1858,0.1882,0.1867,6.7E-4,15,0.652,-4.856,3.3,1,0,"HD 114174 ",197.2126,5.20724
"GL486",0.5735,0.7098,0.655,0.03598,11,1.445,-5.178,10.09,1,0,"GL486     ",191.98594,9.7514
"HIP63510",8.157,10.44,9.218,0.37614,47,1.288,-3.792,0.0,1,0,"HIP63510  ",195.19399,12.37574
"GL514",0.9849,1.433,1.156,0.109,77,1.286,-4.692,1.83,1,0,"GL514     ",202.49911,10.37716
"HD 117176",0.1381,0.1449,0.1435,0.00113,94,0.704,-5.121,8.45,1,0,"HD 117176 ",202.10754,13.77879
"HD 119850",0.5741,0.8881,0.764,0.07592,45,1.287,-4.872,3.5,1,0,"HD 119850 ",206.4324,14.89152
"HD 90722",0.1511,0.1574,0.1537,0.00179,12,0.698,-5.05,6.66,1,0,"HD 90722  ",157.05803,-16.28916
"HD 92719",0.1781,0.2018,0.1879,0.00593,81,0.607,-4.83,2.99,1,0,"HD 92719  ",160.5555,-13.78771
"HD BD-103166",0.1957,0.2559,0.2355,0.01783,11,0.8,-4.775,2.45,1,0,"BD-103166 ",164.61993,-10.77039
"HD 87424",0.5194,0.6073,0.5557,0.02251,18,0.865,-4.381,0.31,1,0,"HD 87424  ",151.15691,-11.7297
"HIP51007",1.192,1.763,1.607,0.1296,21,1.293,-4.559,1.14,1,0,"HIP51007  ",156.29515,-10.22869
"HD 87359",0.1876,0.2149,0.2011,0.00691,56,0.661,-4.8,2.69,1,1,"HD 87359  ",151.11162,-7.2184
"HD 90711",0.1613,0.1838,0.1765,0.00551,27,0.767,-4.952,4.7,1,0,"HD 90711  ",157.05062,-6.60058
"HD 98281",0.1638,0.1872,0.1787,0.00539,89,0.697,-4.913,4.07,1,1,"HD 98281  ",169.59171,-5.0673
"HIP57548",0.7582,2.209,1.086,0.31914,17,1.49,-5.018,5.95,1,0,"HIP57548  ",176.93499,0.80456
"HD 99109",0.1483,0.1691,0.1559,0.00631,30,0.823,-5.065,7.01,1,0,"HD 99109  ",171.07233,-1.52907
"HD 92788",0.1576,0.1687,0.1601,0.00318,35,0.682,-5.006,5.71,2,0,"HD 92788  ",160.7022,-2.18376
"HD 99492",0.2014,0.3211,0.248,0.02571,159,0.953,-4.882,3.62,1,1,"HD 99492  ",171.69283,3.00632
"HD 99491",0.1691,0.2377,0.1976,0.01367,195,0.765,-4.868,3.45,1,1,"HD 99491  ",171.68884,3.0131
"GL382",1.609,2.451,1.877,0.14002,82,1.318,-4.532,1.02,1,0,"GL382     ",153.07362,-3.74566
"HD 88072",0.1535,0.1695,0.1606,0.00418,18,0.637,-4.988,5.35,1,0,"HD 88072  ",152.34762,2.37108
"HD 88725",0.1683,0.1719,0.1698,9.3E-4,16,0.553,-4.902,3.9,1,0,"HD 88725  ",153.53473,3.1513
"HIP46655",0.4516,0.9645,0.5716,0.15319,10,1.411,-5.189,10.44,1,0,"HIP46655  ",142.68577,0.32266
